@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {0, 1, 2, 3}


@data

0.0,0.0,?,0.0,?,3
0.08,0.08,?,0.24,0.9,0
0.06,0.06,?,0.25,0.33,1
?,?,?,0.65,?,2
0.08,?,?,0.98,?,1
?,?,?,?,?,?
?,?,?,?,?,2
?,?,?,?,0.01,?
0.2,?,?,0.72,0.25,1
?,0.0,0.5,0.2,?,0
0.18,0.18,0.55,?,0.81,?
?,0.06,?,0.41,0.3,?
?,?,?,?,?,2
?,?,0.7,?,?,?
0.2,?,0.7,?,?,2
?,?,0.75,?,?,?
0.05,?,0.7,0.01,?,?
?,0.25,?,0.08,0.33,1
?,?,?,?,0.29,?
?,?,0.25,?,?,2
?,?,?,?,?,1
?,?,0.37,?,0.66,2
?,0.27,0.31,?,?,?
0.18,0.31,0.32,0.42,0.28,?
0.06,?,0.35,?,?,?
0.09,0.3,?,?,?,?
?,0.28,0.55,0.25,0.1,?
?,0.255,?,?,0.25,1
0.08,?,?,?,0.56,?
0.15,0.275,?,?,?,?
?,?,0.75,?,0.59,2
0.15,0.295,0.75,?,?,?
?,0.256,?,?,?,?
0.18,?,0.04,0.19,0.82,?
0.2,?,?,0.31,0.78,?
?,?,0.12,?,?,?
?,?,?,?,0.26,1
0.18,?,0.32,?,0.33,?
?,?,0.31,0.26,?,3
0.19,0.38,0.38,?,0.45,?
?,0.33,?,?,?,?
0.2,0.49,0.6,?,?,?
?,0.49,?,?,?,?
?,0.33,?,?,?,?
0.115,?,0.65,0.27,?,?
?,?,?,0.14,0.66,2
?,?,?,?,?,2
0.13,0.39,?,0.38,?,?
?,?,?,0.71,0.9,0
?,?,0.02,0.18,0.67,?
0.06,0.5,?,0.28,0.25,?
?,0.7,?,?,0.45,?
?,?,?,0.78,?,?
0.24,?,?,?,?,?
?,?,?,?,0.55,?
0.1,?,?,?,0.26,1
0.2,?,?,?,?,?
0.09,?,?,?,0.59,?
?,?,0.58,?,0.82,?
0.08,?,0.6,?,0.1,1
?,0.61,?,?,?,1
0.06,0.77,0.72,?,0.56,?
0.15,?,?,?,0.51,?
?,0.68,0.73,0.48,?,?
?,0.58,?,?,0.28,?
?,?,0.03,?,?,3
?,?,?,0.26,?,?
?,?,?,?,?,2
?,?,?,0.28,?,?
?,?,?,0.02,0.67,2
?,?,0.37,?,0.58,?
0.31,?,?,0.42,?,?
0.29,?,?,0.66,?,?
?,0.2,0.52,0.3,0.53,?
?,?,?,0.33,?,?
?,0.18,0.5,0.4,0.1,3
0.265,?,?,0.75,?,1
?,?,0.72,0.1,?,?
0.245,?,?,?,0.2,?
?,0.2,0.86,0.44,?,?
?,0.12,?,0.76,?,?
?,?,?,?,?,2
?,?,0.29,0.29,?,2
0.25,?,0.15,?,?,?
?,0.1,0.1,0.7,0.25,1
0.248,0.3,0.31,0.2,?,?
?,?,0.38,0.31,?,?
?,?,?,?,?,?
?,0.29,?,?,?,?
0.29,0.3,0.52,?,?,2
?,0.28,?,?,?,2
?,0.255,0.55,?,0.34,?
0.251,?,?,?,?,3
?,?,?,0.23,?,?
0.323,0.32,0.89,?,?,0
0.255,?,0.86,0.62,?,1
?,?,?,?,0.19,?
?,0.25,?,?,0.77,0
0.29,?,0.29,?,0.57,?
0.243,0.27,0.08,?,?,?
0.27,?,?,?,?,?
0.299,?,?,?,?,0
?,?,?,0.31,?,2
?,0.26,?,?,?,?
?,?,0.31,0.76,0.1,?
?,?,0.56,?,?,?
0.26,?,0.6,0.29,?,2
?,?,?,?,0.54,2
?,0.27,0.52,?,?,2
?,?,?,?,?,?
0.276,?,?,0.27,?,1
?,0.31,?,?,?,1
0.32,0.28,0.72,?,0.58,?
0.329,0.55,?,?,0.79,?
0.295,?,?,?,?,?
0.285,0.64,0.18,?,?,?
?,0.6,0.28,?,0.07,?
0.315,?,0.28,0.8,?,?
?,?,0.44,0.17,?,?
?,0.61,0.46,?,?,?
?,?,?,0.65,0.13,?
0.255,?,?,?,?,?
0.305,?,0.5,0.11,0.333,1
?,0.85,0.54,?,?,?
?,?,0.52,0.49,?,0
?,?,?,?,?,0
0.299,0.7,0.95,0.22,?,0
0.265,?,0.8,0.28,?,1
?,?,0.72,?,?,1
?,?,?,?,?,2
0.39,?,?,?,?,?
0.4,?,0.26,?,0.67,?
?,?,?,0.55,?,?
?,0.12,0.28,?,?,?
0.4,0.12,?,?,?,2
?,?,?,?,?,2
?,?,?,?,?,?
0.37,0.06,0.32,?,?,?
0.41,0.09,?,?,?,2
0.38,0.01,?,?,?,?
?,0.04,?,?,?,?
?,?,?,?,?,?
?,0.08,0.8,?,?,?
?,0.15,?,0.22,?,?
0.42,?,0.87,?,0.48,2
0.46,0.2,?,0.95,?,?
?,?,?,0.24,?,?
?,?,?,0.33,0.1,?
0.345,?,?,0.64,0.13,?
?,?,0.15,?,0.77,?
?,?,0.38,0.14,?,0
?,?,?,0.32,?,?
?,?,?,?,?,?
?,?,?,?,?,1
?,?,0.51,0.09,0.64,?
0.44,0.32,?,0.33,0.52,?
0.45,?,0.63,?,?,2
?,0.276,0.58,0.77,?,?
0.465,0.258,?,0.18,0.59,?
0.475,0.32,0.79,?,?,2
0.348,0.329,?,0.61,?,?
?,0.26,0.76,0.84,?,?
0.445,?,0.02,0.24,0.88,0
0.43,0.45,0.27,0.27,?,?
?,?,0.1,?,?,3
?,?,?,0.3,?,0
?,?,?,0.2,?,?
?,0.36,0.46,?,?,?
?,?,?,?,?,1
?,?,0.34,0.21,?,0
?,0.36,0.63,?,0.25,1
?,?,0.62,?,?,?
?,?,0.59,0.53,?,?
?,?,?,?,0.16,?
0.46,?,0.89,?,?,?
0.38,?,?,?,0.3,1
?,?,0.83,?,?,?
?,0.34,?,?,?,?
0.46,0.64,?,?,0.6,2
?,0.55,?,0.26,?,?
?,0.68,?,0.63,0.18,1
?,?,?,0.99,?,0
?,0.78,?,0.24,?,0
?,0.55,0.41,?,?,?
0.38,?,?,?,0.2,1
?,?,?,0.78,?,?
?,?,?,0.01,0.93,0
?,?,0.61,?,?,?
?,?,0.59,0.55,0.25,?
?,0.9,?,0.9,0.47,0
?,0.7,0.82,0.16,?,?
0.42,?,?,?,?,?
0.37,0.6,?,?,0.5,?
?,?,?,0.88,0.67,0
0.6,0.14,?,0.11,?,?
?,?,?,0.25,0.29,1
0.68,?,0.19,?,?,?
0.73,0.2,0.07,?,?,?
0.78,?,?,?,?,?
0.55,0.1,0.34,?,0.1,3
0.59,0.18,0.31,0.55,?,?
0.64,?,0.33,?,0.5,?
?,0.19,?,?,?,?
?,?,?,0.3,?,?
?,0.21,?,?,?,?
?,?,?,0.81,?,?
?,?,?,?,?,?
?,?,?,?,?,?
?,0.17,?,?,?,?
0.85,?,?,?,0.68,?
?,?,?,?,?,2
?,?,?,?,?,2
?,0.26,?,0.58,?,?
?,0.258,?,?,?,?
0.72,0.32,0.48,?,0.6,2
0.6,?,?,0.29,0.3,1
?,?,0.32,?,0.3,?
0.6,0.31,?,?,0.58,0
?,0.255,?,0.17,?,2
0.58,?,?,0.28,0.3,?
?,0.258,?,?,?,?
?,?,0.59,0.78,?,2
?,0.28,?,?,0.66,?
?,0.27,0.78,?,0.57,?
0.58,?,0.73,?,?,1
0.77,0.29,?,?,0.68,0
0.71,?,0.13,?,?,2
?,0.348,0.06,0.29,?,1
?,0.335,?,?,?,?
?,?,?,?,?,?
?,?,?,0.12,?,2
?,0.33,0.36,0.28,?,?
