@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {0, 1, 2, 3}


@data

0.0,0.0,?,?,0.0,3
?,?,0.1,0.24,0.9,?
0.06,?,0.05,0.25,?,1
0.1,?,?,?,0.3,?
?,0.08,0.08,?,?,1
?,0.15,?,0.1,?,?
?,0.1,0.43,0.29,?,?
0.15,?,?,?,?,?
0.2,0.14,0.35,?,?,?
?,?,?,0.2,0.85,0
?,?,?,0.3,?,?
0.06,?,?,?,?,?
0.1,?,0.52,?,?,2
?,0.1,?,?,?,0
?,0.2,?,?,0.6,2
0.12,0.12,0.75,?,0.8,0
?,?,0.7,?,?,3
0.1,0.25,?,?,?,?
?,?,0.05,?,0.29,1
0.2,0.29,?,?,?,2
0.12,?,?,0.78,0.2,?
?,0.3,0.37,0.12,?,2
?,?,0.31,?,?,?
?,?,?,?,?,?
?,?,0.35,?,0.25,1
?,?,0.68,?,?,0
0.04,0.28,?,?,0.1,?
?,?,?,0.45,?,?
0.08,?,?,0.94,0.56,?
?,?,?,?,0.81,?
0.12,?,?,?,0.59,?
?,0.295,?,?,0.24,1
?,0.256,0.7,?,0.16,1
?,?,0.04,0.19,0.82,?
?,?,0.28,0.31,?,?
?,?,?,?,?,?
0.1,0.42,?,?,?,1
0.18,?,0.32,?,0.33,?
?,?,0.31,0.26,?,3
?,0.38,?,?,?,2
?,?,?,0.76,?,?
?,0.49,0.6,0.2,0.78,?
?,0.49,?,0.29,?,?
?,0.33,0.61,?,0.25,?
0.115,0.35,0.65,?,?,3
?,0.36,?,0.14,?,?
?,?,0.75,0.31,?,2
0.13,?,?,0.38,0.77,?
?,0.34,?,0.71,?,?
?,?,?,0.18,?,?
0.06,0.5,0.09,?,?,?
0.23,?,?,0.51,?,2
0.09,?,?,0.78,?,1
?,?,?,?,0.86,?
?,0.72,?,?,0.55,?
?,0.6,?,?,0.26,1
0.2,?,0.36,?,0.25,?
?,?,0.66,0.19,0.59,2
?,0.51,0.58,0.33,?,0
?,?,0.6,?,?,?
?,?,?,0.75,0.01,1
?,0.77,?,?,?,?
0.15,?,?,?,0.51,2
0.2,?,?,?,?,?
?,?,?,?,0.28,2
?,0.1,0.03,0.09,0.15,?
?,0.2,0.06,0.26,?,3
0.29,?,0.19,?,0.51,2
0.28,?,?,0.28,?,?
?,?,0.4,?,?,?
0.27,?,0.37,?,?,2
?,?,0.41,0.42,0.75,0
?,?,?,0.66,0.08,?
?,0.2,0.52,0.3,?,?
?,0.16,0.69,?,?,0
0.255,0.18,?,?,?,?
0.265,?,0.57,?,?,1
?,0.1,?,0.1,?,1
?,0.1,?,?,?,3
?,?,0.86,?,?,1
?,0.12,0.79,?,0.24,1
0.295,?,0.26,?,?,?
?,0.32,0.29,?,0.62,?
?,?,0.15,?,0.26,1
0.27,?,0.1,?,?,?
0.248,?,?,?,0.03,?
?,0.25,0.38,?,0.79,?
0.27,?,0.32,?,0.28,?
?,0.29,?,0.78,?,?
0.29,?,?,?,?,2
0.258,?,?,?,?,?
0.32,0.255,?,0.78,0.34,?
?,?,?,?,0.09,3
?,?,?,0.23,?,1
?,?,?,0.32,?,0
?,0.305,?,?,0.15,?
0.295,0.25,0.73,?,0.19,1
?,?,?,0.33,0.77,?
0.29,0.25,?,?,?,?
0.243,?,?,0.42,0.29,1
?,0.28,0.18,?,?,1
0.299,0.32,0.31,0.33,?,0
?,?,0.31,0.31,?,2
?,0.26,0.38,?,0.27,1
?,0.29,?,?,0.1,1
?,0.3,?,?,?,2
?,?,?,?,?,?
?,?,?,0.4,0.54,?
?,0.27,?,?,?,?
?,0.295,0.8,?,?,0
?,?,?,0.27,?,?
?,?,?,?,?,?
0.32,?,?,?,?,0
?,0.55,0.02,?,?,0
0.295,?,0.29,?,?,?
?,0.64,?,?,0.45,2
0.265,?,?,?,0.07,3
?,?,0.28,0.8,0.7,0
?,?,0.44,0.17,?,?
?,0.61,0.46,0.32,0.81,0
?,?,0.4,?,?,?
?,?,?,?,?,?
0.305,0.55,0.5,?,?,?
0.3,?,?,?,0.83,?
0.325,?,0.52,0.49,?,?
0.312,?,?,?,?,0
0.299,?,?,0.22,0.66,?
?,?,?,?,?,1
?,0.72,?,0.63,?,?
?,?,?,0.88,0.28,?
0.39,?,?,?,?,?
0.4,?,0.26,0.26,0.67,?
?,0.04,?,0.55,0.07,3
?,?,?,?,?,?
?,?,0.41,0.1,?,?
?,?,?,?,?,?
0.38,?,?,?,0.26,?
?,0.06,?,?,?,1
0.41,0.09,0.58,0.18,0.58,?
0.38,0.01,?,?,0.3,1
?,?,0.5,?,0.1,3
?,0.15,?,0.78,?,?
?,?,?,0.22,?,2
?,0.15,0.81,0.22,0.29,1
0.42,0.21,?,?,?,2
?,?,?,?,?,?
?,0.243,0.19,?,0.35,1
?,?,0.2,?,?,?
?,?,?,?,0.13,1
0.48,0.3,0.15,?,?,?
0.49,?,?,0.14,?,0
0.334,?,0.33,0.32,?,1
0.36,0.29,?,0.48,?,?
0.39,0.26,0.39,?,0.14,?
?,0.305,0.51,?,0.64,?
?,?,?,?,?,?
?,?,0.63,?,?,?
?,0.276,?,?,0.83,?
?,?,0.73,0.18,0.59,?
?,0.32,?,?,0.54,?
?,0.329,?,0.61,?,?
0.385,0.26,0.76,?,?,?
?,?,?,?,0.88,0
0.43,0.45,?,?,0.89,?
?,?,?,0.49,0.12,3
?,?,?,?,?,?
?,?,?,?,0.61,2
0.38,?,?,0.49,0.78,?
?,?,?,0.6,0.16,1
0.41,0.49,?,?,0.92,?
?,0.36,0.63,0.04,0.25,?
0.43,0.38,?,?,0.49,2
0.44,0.33,?,0.53,0.85,?
?,?,?,0.75,0.16,1
?,?,0.89,?,?,2
0.38,0.39,?,?,0.3,?
0.39,?,?,?,?,?
?,?,0.88,0.75,?,0
?,?,0.22,?,0.6,2
0.44,?,?,?,?,0
?,0.68,?,0.63,?,?
?,0.65,?,?,?,0
?,?,0.38,?,?,?
0.37,0.55,0.41,?,?,?
0.38,0.59,0.31,?,0.2,?
?,?,?,?,?,?
0.495,?,?,0.01,?,?
0.44,?,?,0.29,0.57,?
0.365,0.57,?,?,?,?
0.49,?,?,?,?,?
?,0.7,?,0.16,?,?
0.42,?,?,?,0.8,?
?,?,0.77,?,0.5,2
?,0.61,0.71,0.88,0.67,?
?,0.14,?,0.11,?,?
?,?,?,?,0.29,?
0.68,?,0.19,?,?,3
?,0.2,?,0.72,?,1
?,?,?,?,?,?
?,?,0.34,0.3,?,?
?,?,?,0.55,?,3
?,0.09,0.33,?,0.5,?
0.6,?,0.55,?,0.1,3
0.69,0.02,0.62,0.3,0.29,?
?,0.21,?,?,?,?
?,?,0.52,0.81,0.15,?
?,?,?,?,0.66,?
?,0.015,?,?,?,?
?,0.17,?,?,?,3
?,?,?,0.8,?,0
0.78,?,?,0.14,?,2
?,0.29,?,0.31,0.51,?
?,0.26,?,0.58,?,?
0.76,?,?,?,?,?
0.72,0.32,?,0.2,0.6,2
0.6,?,0.39,?,?,1
0.52,0.288,?,?,?,?
?,?,?,0.87,0.58,?
?,0.255,0.55,?,?,?
?,?,?,?,0.3,?
?,0.258,0.56,?,?,?
?,?,0.59,?,?,?
?,?,?,?,?,?
?,?,?,?,?,?
?,0.299,?,?,0.21,1
?,?,?,?,0.68,?
0.71,0.475,?,?,?,?
?,?,0.06,?,0.31,1
0.88,?,?,0.55,?,0
0.99,?,0.07,0.7,0.69,?
0.73,?,?,?,?,?
