@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {0, 1, 2, 3}


@data

?,0.0,0.0,0.0,?,3
0.08,?,0.1,0.24,0.9,0
?,?,0.05,?,0.33,1
?,?,0.15,?,?,2
0.08,0.08,?,0.98,?,1
?,0.15,?,?,?,?
0.1,?,?,0.29,?,2
?,0.02,?,?,?,?
?,?,?,?,?,?
?,0.0,0.5,?,?,0
0.18,?,?,0.3,0.81,?
0.06,?,?,0.41,0.3,?
?,0.1,?,0.78,0.34,2
?,0.1,0.7,?,0.9,0
?,0.2,?,0.3,?,?
0.12,0.12,?,?,?,?
0.05,0.07,0.7,0.01,?,?
0.1,?,0.1,?,?,?
?,0.32,0.05,?,?,?
?,?,?,?,0.56,?
0.12,?,?,0.78,?,1
0.18,0.3,0.37,?,?,?
?,?,0.31,0.29,?,?
?,?,0.32,0.42,?,?
0.06,0.29,0.35,0.76,?,?
?,?,0.68,0.18,0.85,0
?,0.28,?,0.25,0.1,3
?,?,?,0.45,?,?
0.08,?,0.62,?,?,?
0.15,0.275,?,?,0.81,0
0.12,?,0.75,?,?,?
?,?,0.75,?,0.24,1
?,?,0.7,0.76,?,1
?,?,0.04,?,?,?
?,?,0.28,0.31,?,?
?,?,?,?,?,?
?,?,?,0.72,?,?
0.18,0.4,?,0.08,0.33,?
0.09,0.33,0.31,0.26,?,?
0.19,?,?,?,?,?
0.02,?,?,?,?,?
?,?,?,0.2,?,0
?,0.49,0.55,?,?,?
0.18,?,?,?,?,?
?,0.35,0.65,0.27,?,3
?,?,0.8,?,0.66,?
?,?,0.75,?,?,2
?,0.39,0.85,?,?,?
?,0.34,?,?,0.9,0
?,0.51,?,0.18,?,?
?,?,?,?,0.25,1
?,?,0.19,?,?,2
0.09,0.55,?,?,0.05,?
0.24,?,?,?,0.86,?
?,?,?,0.29,0.55,2
0.1,0.6,?,?,?,1
?,0.52,0.36,0.84,?,?
?,?,?,?,?,?
0.18,?,?,?,?,?
?,?,0.6,?,0.1,1
?,?,?,?,?,1
0.06,0.77,?,0.19,?,2
?,0.79,?,0.3,?,2
?,?,?,?,0.28,?
?,?,0.76,0.8,?,?
0.25,?,0.03,?,?,3
0.32,0.2,?,0.26,0.24,3
?,0.06,?,?,?,2
?,0.1,?,?,?,1
0.3,?,?,0.02,?,?
?,?,?,0.29,0.58,?
0.31,?,0.41,0.42,0.75,?
?,?,?,?,?,?
?,?,?,?,?,2
0.28,?,0.69,0.33,0.78,?
?,0.18,0.5,0.4,?,?
0.265,0.06,0.57,?,0.1,1
0.275,0.1,?,0.1,?,?
?,0.1,0.71,?,0.2,?
?,?,0.86,0.44,?,1
?,0.12,?,?,?,?
?,?,0.26,?,?,?
?,?,?,0.29,?,2
?,?,0.15,0.48,?,1
?,?,0.1,?,?,?
?,?,0.31,?,?,?
0.325,?,?,0.31,0.79,?
0.27,?,?,?,?,?
?,?,?,?,?,?
?,0.3,0.52,?,0.67,?
0.258,?,0.64,?,?,2
?,0.255,?,?,?,2
?,0.265,0.57,0.6,?,?
?,0.31,0.79,?,0.24,?
0.323,?,0.89,0.32,0.8,?
?,?,0.86,0.62,0.15,?
?,0.25,?,?,0.19,?
0.258,0.25,?,0.33,?,0
0.29,?,?,?,?,2
0.243,?,?,0.42,0.29,1
0.27,?,?,?,?,?
0.299,?,0.31,?,?,?
0.3,0.27,?,0.31,?,2
0.245,0.26,?,?,0.27,1
0.295,0.29,0.31,0.76,?,?
?,?,?,0.25,0.67,?
0.26,0.28,0.6,?,?,?
?,0.255,?,?,0.54,2
?,?,?,0.81,0.3,?
0.299,0.295,0.8,0.37,0.84,?
?,?,0.81,?,?,?
?,?,?,0.4,?,1
0.32,?,0.72,?,?,?
?,0.55,?,0.4,0.79,?
?,?,?,0.31,0.55,2
0.285,?,?,?,?,?
0.265,0.6,?,0.66,?,3
?,?,0.28,?,0.7,?
?,?,0.44,?,?,?
?,0.61,?,0.32,?,?
?,?,?,?,?,1
?,0.75,0.35,?,0.25,?
?,0.55,?,0.11,?,?
?,?,0.54,0.25,?,2
0.325,0.9,0.52,?,?,0
?,0.8,?,?,?,?
?,?,?,?,0.66,?
?,?,?,0.28,?,?
?,?,0.72,?,0.14,?
0.295,?,?,?,?,?
?,?,?,0.06,0.34,?
?,?,0.26,?,0.67,?
?,?,0.18,?,0.07,3
0.48,?,?,?,?,?
?,?,?,?,?,2
?,0.18,0.33,?,0.5,?
?,?,?,0.48,0.26,1
?,?,0.32,?,0.1,1
?,?,0.58,?,?,2
0.38,0.01,?,?,?,?
?,0.04,?,?,0.1,?
0.42,?,?,0.78,?,?
0.44,?,?,0.22,0.56,2
?,?,?,?,?,?
?,?,?,?,0.48,2
0.46,?,?,?,?,?
?,0.243,0.19,?,?,1
?,0.27,?,?,0.1,3
?,0.299,?,?,?,?
?,0.3,?,0.65,?,?
?,?,0.38,0.14,0.86,0
0.334,0.295,?,0.32,0.3,?
?,?,0.37,?,?,?
?,?,?,?,0.14,1
?,?,0.51,?,?,?
0.44,0.32,?,0.33,?,2
?,?,?,?,?,?
0.495,?,0.58,?,0.83,0
?,?,?,?,0.59,?
0.475,?,0.79,?,?,2
0.348,0.329,0.83,?,0.18,1
?,?,0.76,0.84,?,?
0.445,?,0.02,?,?,?
?,?,0.27,0.27,?,?
?,0.34,?,?,?,3
0.4,0.33,0.12,?,?,?
?,?,?,0.2,?,2
0.38,?,0.46,0.49,?,0
?,?,0.32,0.6,0.16,?
?,0.49,0.34,0.21,?,0
?,0.36,0.63,?,?,1
?,?,?,0.33,0.49,?
?,0.33,0.59,?,?,?
0.4,?,0.58,0.75,?,?
?,0.44,0.89,?,0.66,?
?,?,?,?,?,1
?,?,?,0.65,0.19,?
0.49,?,?,?,?,0
?,0.64,0.22,?,?,2
?,?,?,?,0.83,?
?,0.68,?,?,?,?
?,?,0.19,?,?,?
0.46,?,?,?,0.89,?
0.37,0.55,?,0.29,?,?
0.38,0.59,?,0.62,?,1
?,0.64,?,?,0.21,?
0.495,?,0.67,?,?,?
0.44,?,0.61,0.29,?,2
?,?,0.59,?,?,1
0.49,?,?,0.9,0.47,?
?,0.7,?,0.16,?,?
?,?,?,?,?,?
0.37,0.6,?,?,?,?
?,?,?,?,0.67,?
0.6,0.14,0.22,?,?,?
0.55,?,?,?,?,?
0.68,0.19,0.19,?,0.1,3
?,0.2,0.07,0.72,0.26,?
0.78,0.15,0.38,?,?,2
0.55,?,0.34,0.3,?,?
?,0.18,0.31,?,0.09,3
?,?,?,?,?,?
?,?,0.55,?,?,?
?,0.02,?,?,?,1
?,?,?,0.65,?,?
?,?,0.52,?,?,?
?,0.18,0.88,?,?,2
0.75,0.015,?,0.31,?,2
0.55,0.17,?,?,0.11,?
?,0.05,0.91,0.8,?,0
?,?,?,?,?,?
?,?,0.06,?,0.51,?
0.9,0.26,?,0.58,0.79,?
?,?,?,0.83,0.34,2
0.72,?,0.48,?,0.6,?
?,?,0.39,?,?,?
?,0.288,0.32,0.5,?,?
0.6,0.31,0.31,0.87,?,0
?,?,?,0.17,0.64,?
?,?,?,?,?,?
0.61,?,?,?,?,?
?,?,?,?,?,2
?,0.28,0.88,?,?,?
0.68,?,0.78,?,0.57,2
0.58,0.299,?,0.63,?,?
0.77,?,?,?,?,0
0.71,?,0.13,?,0.59,?
?,?,0.06,0.29,?,?
0.88,0.335,0.19,?,?,?
0.99,?,?,?,?,?
?,?,?,?,0.65,2
0.61,0.33,?,?,?,?
