@relation dataset

@attribute make {alfa-romero, audi, bmw, chevrolet, dodge, honda, isuzu, jaguar, mazda, mercedes-benz, mercury, mitsubishi, nissan, peugot, plymouth, porsche, saab, subaru, toyota, volkswagen, volvo}
@attribute fuel-type {diesel, gas}
@attribute aspiration {std, turbo}
@attribute num-of-doors {four, two}
@attribute body-style {convertible, hardtop, hatchback, sedan, wagon}
@attribute drive-wheels {4wd, fwd, rwd}
@attribute engine-location {front, rear}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {dohc, l, ohc, ohcf, ohcv}
@attribute num-of-cylinders {eight, five, four, six, three, twelve}
@attribute engine-size real
@attribute fuel-system {1bbl, 2bbl, idi, mfi, mpfi, spdi, spfi}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {-2, -1, 0, 1, 2, 3}


@data

?,gas,?,?,convertible,rwd,?,88.6,?,?,48.8,2548.0,dohc,four,130.0,mpfi,3.47,?,9.0,?,?,?,?,13495.0,?
?,?,?,?,?,rwd,front,88.6,?,64.1,?,2548.0,dohc,four,130.0,?,3.47,2.68,9.0,111.0,?,21.0,27.0,16500.0,3
alfa-romero,gas,?,?,?,rwd,front,?,?,?,?,2823.0,?,six,?,?,?,?,9.0,154.0,5000.0,19.0,?,16500.0,1
audi,gas,std,?,?,?,?,99.8,176.6,66.2,54.3,2337.0,?,four,109.0,?,3.19,3.4,?,102.0,5500.0,24.0,30.0,?,2
?,gas,std,four,?,?,front,99.4,?,?,54.3,2824.0,ohc,five,136.0,?,?,3.4,?,?,5500.0,18.0,?,17450.0,2
audi,gas,?,two,sedan,?,front,99.8,177.3,66.3,53.1,?,?,five,?,?,3.19,?,?,110.0,5500.0,?,?,?,2
audi,gas,?,four,sedan,?,?,105.8,192.7,71.4,?,2844.0,ohc,five,136.0,?,3.19,?,8.5,?,?,19.0,25.0,?,1
?,?,std,four,?,?,front,?,192.7,?,55.7,2954.0,?,five,136.0,mpfi,?,?,8.5,110.0,?,?,25.0,18920.0,1
audi,gas,turbo,four,sedan,?,front,?,?,?,?,?,ohc,five,131.0,mpfi,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,?,?
bmw,?,std,?,sedan,rwd,front,101.2,176.8,?,54.3,2395.0,ohc,four,108.0,mpfi,?,2.8,?,101.0,5800.0,?,29.0,16430.0,2
?,gas,std,?,sedan,rwd,front,?,176.8,?,54.3,2395.0,ohc,?,?,mpfi,?,2.8,?,101.0,?,?,?,?,0
?,?,?,?,?,rwd,front,101.2,176.8,?,54.3,?,ohc,six,?,mpfi,3.31,3.19,?,?,?,?,?,20970.0,0
?,?,std,four,?,rwd,?,101.2,?,?,?,?,ohc,?,164.0,?,3.31,3.19,9.0,121.0,4250.0,21.0,?,21105.0,0
