@relation dataset

@attribute realvaluedinputfeature_1 real
@attribute realvaluedinputfeature_2 real
@attribute realvaluedinputfeature_3 real
@attribute realvaluedinputfeature_4 real
@attribute realvaluedinputfeature_5 real
@attribute realvaluedinputfeature_6 real
@attribute realvaluedinputfeature_7 real
@attribute realvaluedinputfeature_8 real
@attribute realvaluedinputfeature_9 real
@attribute realvaluedinputfeature_10 real
@attribute realvaluedinputfeature_11 real
@attribute realvaluedinputfeature_12 real
@attribute realvaluedinputfeature_13 real
@attribute realvaluedinputfeature_14 real
@attribute realvaluedinputfeature_15 real
@attribute realvaluedinputfeature_16 real
@attribute realvaluedinputfeature_17 real
@attribute realvaluedinputfeature_18 real
@attribute realvaluedinputfeature_19 real
@attribute realvaluedinputfeature_20 real
@attribute realvaluedinputfeature_21 real
@attribute realvaluedinputfeature_22 real
@attribute realvaluedinputfeature_23 real
@attribute realvaluedinputfeature_24 real
@attribute realvaluedinputfeature_25 real
@attribute realvaluedinputfeature_26 real
@attribute realvaluedinputfeature_27 real
@attribute realvaluedinputfeature_28 real
@attribute realvaluedinputfeature_29 real
@attribute realvaluedinputfeature_30 real


@data

17.99,10.38,122.8,?,0.1184,0.2776,0.3001,0.1471,0.2419,0.07871,1.095,?,?,153.4,0.006399,0.04904,0.05373,0.01587,0.03003,0.006193,?,17.33,184.6,2019.0,0.1622,?,?,?,0.4601,?
20.57,?,132.9,1326.0,0.08474,0.07864,0.0869,0.07017,?,0.05667,0.5435,0.7339,?,74.08,0.005225,0.01308,0.0186,0.0134,0.01389,0.003532,?,?,?,?,0.1238,0.1866,0.2416,0.186,0.275,0.08902
19.69,21.25,130.0,1203.0,0.1096,0.1599,?,?,0.2069,0.05999,0.7456,0.7869,4.585,94.03,0.00615,0.04006,0.03832,0.02058,0.0225,0.004571,?,25.53,152.5,1709.0,0.1444,0.4245,0.4504,0.243,?,0.08758
11.42,20.38,77.58,?,0.1425,?,0.2414,0.1052,0.2597,0.09744,0.4956,1.156,3.445,27.23,0.00911,0.07458,?,?,0.05963,0.009208,14.91,26.5,98.87,567.7,0.2098,0.8663,?,0.2575,0.6638,0.173
20.29,14.34,135.1,1297.0,?,0.1328,0.198,0.1043,0.1809,0.05883,0.7572,0.7813,5.438,?,0.01149,?,0.05688,0.01885,0.01756,0.005115,22.54,?,152.2,?,?,?,0.4,0.1625,0.2364,0.07678
12.45,15.7,82.57,477.1,?,0.17,0.1578,0.08089,0.2087,0.07613,0.3345,0.8902,2.217,27.19,0.00751,0.03345,0.03672,0.01137,?,?,15.47,23.75,103.4,741.6,0.1791,?,0.5355,0.1741,0.3985,?
18.25,19.98,119.6,1040.0,?,0.109,0.1127,0.074,0.1794,0.05742,0.4467,?,3.18,53.91,0.004314,0.01382,?,0.01039,0.01369,0.002179,?,27.66,?,1606.0,0.1442,0.2576,0.3784,0.1932,0.3063,0.08368
13.71,20.83,90.2,577.9,0.1189,0.1645,0.09366,?,0.2196,?,0.5835,1.377,3.856,50.96,0.008805,0.03029,0.02488,?,0.01486,0.005412,17.06,?,110.6,897.0,0.1654,?,0.2678,0.1556,?,0.1151
13.0,21.82,87.5,519.8,?,0.1932,0.1859,0.09353,0.235,0.07389,0.3063,1.002,2.406,24.32,?,?,0.03553,?,0.02143,0.003749,15.49,?,106.2,739.3,0.1703,?,?,0.206,0.4378,0.1072
12.46,24.04,83.97,475.9,0.1186,0.2396,0.2273,0.08543,?,0.08243,0.2976,1.599,2.039,?,0.007149,?,0.07743,0.01432,0.01789,0.01008,15.09,?,?,711.4,0.1853,?,1.105,0.221,0.4366,?
16.02,23.24,?,797.8,?,?,?,0.03323,0.1528,0.05697,0.3795,1.187,2.466,40.51,0.004029,?,0.01101,0.007591,?,0.003042,19.19,33.88,123.8,?,0.1181,0.1551,?,0.09975,0.2948,0.08452
15.78,17.89,103.6,781.0,0.0971,0.1292,0.09954,?,0.1842,0.06082,?,?,3.564,54.16,0.005771,0.04061,0.02791,?,0.02008,0.004144,20.42,27.28,136.5,1299.0,?,0.5609,?,0.181,0.3792,?
19.17,24.8,132.4,?,?,0.2458,0.2065,0.1118,0.2397,0.078,0.9555,3.568,?,116.2,?,?,0.0889,0.0409,0.04484,?,?,?,?,1332.0,0.1037,0.3903,0.3639,0.1767,?,0.1023
15.85,?,103.7,782.7,0.08401,0.1002,0.09938,?,?,0.05338,0.4033,?,2.903,36.58,?,0.03126,0.05051,?,0.02981,0.003002,16.84,27.66,112.0,?,0.1131,0.1924,0.2322,0.1119,0.2809,0.06287
13.73,22.61,?,578.3,0.1131,0.2293,0.2128,?,0.2069,0.07682,0.2121,?,2.061,19.21,0.006429,0.05936,0.05501,?,0.01961,0.008093,15.03,32.01,108.8,697.7,0.1651,?,0.6943,0.2208,0.3596,0.1431
?,27.54,?,?,0.1139,?,?,0.07364,0.2303,0.07077,0.37,1.033,2.879,32.55,0.005607,0.0424,0.04741,0.0109,?,0.005466,?,?,124.1,943.2,0.1678,0.6577,0.7026,0.1712,0.4218,0.1341
?,20.13,94.74,684.5,0.09867,0.072,0.07395,0.05259,0.1586,0.05922,0.4727,1.24,?,45.4,0.005718,0.01162,?,0.01109,0.0141,0.002085,19.07,?,123.4,1138.0,0.1464,0.1871,0.2914,0.1609,?,0.08216
16.13,20.68,108.1,798.8,0.117,0.2022,0.1722,0.1028,0.2164,0.07356,?,1.073,3.854,54.18,0.007026,0.02501,0.03188,?,?,0.004142,20.96,?,136.8,1315.0,0.1789,0.4233,?,?,0.3706,0.1142
